h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
11001000100,6.004,7.581,5.398,2443.7,679.083,1764.617
11001000201,13.337,12.386,14.507,643.383,354.8,288.583
11001000202,7.282,8.494,6.736,1855.017,576.167,1278.85
11001000300,5.688,6.02,5.538,3274.467,1022.25,2252.217
11001000400,7.182,8.349,6.337,980.45,411.483,568.967
11001000501,5.67,6.738,5.323,2363,579.983,1783.017
11001000502,6.186,7.676,5.623,2118.567,580.75,1537.817
11001000600,6.313,7.575,5.828,2499.033,694.033,1805
11001000701,5.977,6.525,5.695,2651.733,899.933,1751.8
11001000702,5.786,5.879,5.738,2348.367,789.733,1558.633
11001000801,6.801,7.662,6.437,2409.733,715.467,1694.267
11001000802,6.088,6.35,5.956,1788.967,601.15,1187.817
11001000901,7.839,8.215,7.662,1804.883,576.083,1228.8
11001000902,7.052,7.876,6.649,1253.8,411.767,842.033
11001001001,6.579,7.137,6.369,3121.617,852.45,2269.167
11001001002,6.573,6.963,6.401,1925.25,588.7,1336.55
11001001100,6.731,6.991,6.616,2445.883,747.483,1698.4
11001001200,6.237,6.618,6.081,2820.95,820.183,2000.767
11001001301,6.893,7.748,6.511,2219.25,684.933,1534.317
11001001302,5.701,6.659,5.414,4004.333,922.567,3081.767
11001001401,6.909,7.323,6.701,1853.883,618.133,1235.75
11001001402,7.106,7.632,6.843,1641.783,546.167,1095.617
11001001500,7.584,8.077,7.397,2549.9,703.217,1846.683
11001001600,8.007,8.736,7.588,2155.933,786.617,1369.317
11001001702,7.919,8.444,7.542,1889.25,790.25,1099
11001001803,7.12,6.741,8.067,2351.517,1679.267,672.25
11001001804,7.419,7.163,7.927,2726.15,1814.383,911.767
11001001901,7.686,7.849,7.485,2344.233,1292.017,1052.217
11001001902,8.138,8.452,7.817,1469.367,742.333,727.033
11001002001,7.289,7.333,7.229,1751.517,1017.45,734.067
11001002002,6.835,6.794,6.882,2368.467,1275.55,1092.917
11001002101,6.881,6.672,7.237,2961.4,1863.05,1098.35
11001002102,7.245,7.364,7.1,2662.317,1464.75,1197.567
11001002201,6.937,6.937,6.939,2159.183,1306.383,852.8
11001002202,7.086,6.884,7.362,1986.833,1149.317,837.517
11001002301,6.974,7.276,6.635,2039.283,1077.85,961.433
11001002302,8.446,8.849,8.027,1032.667,526.917,505.75
11001002400,6.439,6.733,6.127,2354.45,1212.217,1142.233
11001002501,6.782,6.866,6.675,1784.217,1003.067,781.15
11001002502,6.31,6.421,6.165,3332.433,1891.15,1441.283
11001002600,7.657,8.589,7.002,1538.467,635.25,903.217
11001002701,6.284,6.772,5.92,3406.867,1455.2,1951.667
11001002702,5.75,6.171,5.459,3420.55,1398.7,2021.85
11001002801,6.197,6.264,6.112,2466.217,1387.117,1079.1
11001002802,6.148,6.291,5.982,2609.617,1402.117,1207.5
11001002900,6.012,6.461,5.562,2733.533,1368.933,1364.6
11001003000,6.084,6.635,5.622,2321.017,1058.067,1262.95
11001003100,5.837,5.807,5.871,2199.283,1170.767,1028.517
11001003200,5.899,5.859,5.955,2881.083,1679.983,1201.1
11001003301,5.863,6.159,5.66,2181.433,888.467,1292.967
11001003302,6.044,6.638,5.588,1725.5,748.9,976.6
11001003400,6.561,6.979,6.164,1779,867.167,911.833
11001003500,5.959,5.685,6.287,1759.25,958.85,800.4
11001003600,5.172,5.329,5.042,3040.967,1385.8,1655.167
11001003700,5.334,5.299,5.364,3021.867,1399.05,1622.817
11001003800,5.065,5.164,5.01,3173.3,1144.617,2028.683
11001003900,5.658,7.086,4.952,3346.183,1107.167,2239.017
11001004001,6.011,8.168,5.163,2558.217,721.917,1836.3
11001004002,5.29,5.995,4.998,2169.9,636.017,1533.883
11001004100,5.683,6.812,5.178,1721.933,532.317,1189.617
11001004201,5.292,6.231,4.956,2624.967,692.4,1932.567
11001004202,5.256,6.121,4.915,2067.483,583.3,1484.183
11001004300,5.08,5.514,4.827,2421.583,893.567,1528.017
11001004400,4.807,5.659,4.507,3429.817,892.917,2536.9
11001004600,5.624,5.941,5.323,2149.667,1049.333,1100.333
11001004701,5.754,5.875,5.627,2160.933,1108.117,1052.817
11001004702,5.602,6.522,5.076,1562.8,568.4,994.4
11001004801,5.482,5.925,5.209,1818.05,694.033,1124.017
11001004802,5.483,5.495,5.472,2227.25,1048.433,1178.817
11001004901,5.769,5.95,5.621,1624.767,728.65,896.117
11001004902,5.364,5.935,5.005,2101.117,811.433,1289.683
11001005001,5.564,6.347,5.119,1539.4,557.783,981.617
11001005002,4.945,5.882,4.482,3444.4,1138.433,2305.967
11001005201,4.591,5.923,4.168,4027.95,971.15,3056.8
11001005301,4.868,6.322,4.427,3389.9,788.5,2601.4
11001005500,4.988,6.759,4.402,3376.45,839.317,2537.133
11001005600,6.795,7.591,6.337,2299.217,839.017,1460.2
11001005800,5.546,7.284,4.906,1985.883,535.017,1450.867
11001005900,6.26,6.877,5.873,1855.383,715.55,1139.833
11001006202,7.383,7.232,7.603,398.317,236.667,161.65
11001006400,7.361,6.896,8.191,1347.117,862.783,484.333
11001006500,6.931,8.917,6.021,1755.167,551.167,1204
11001006600,7.27,8.966,6.354,1429.933,501.267,928.667
11001006700,6.766,8.472,6.073,2408.8,696.083,1712.717
11001006801,7.252,7.7,6.917,1604.1,685.833,918.267
11001006802,6.927,7.728,6.453,1785.233,663.867,1121.367
11001006804,12.731,12.1,13.591,639.517,369.117,270.4
11001006900,7.051,8.339,6.423,1746.233,572.733,1173.5
11001007000,7.436,8.88,6.696,1694.55,574.8,1119.75
11001007100,7.246,7.663,6.89,1815.383,835.533,979.85
11001007200,6.351,7.961,5.618,2306.433,721.55,1584.883
11001007301,15.132,15.462,14.6,1161.617,716.85,444.767
11001007304,8.634,8.616,8.676,1747.033,1224.633,522.4
11001007401,8.101,7.914,8.775,1156.983,905.9,251.083
11001007403,8.555,8.411,8.939,1571.717,1141.05,430.667
11001007404,8.197,8.41,7.742,1819.567,1238.583,580.983
11001007406,8.396,8.41,8.36,1445.65,1028.017,417.633
11001007407,7.837,8.051,7.481,1658.75,1036.783,621.967
11001007408,8.864,8.872,8.842,1438.783,1037.383,401.4
11001007409,8.731,8.526,9.205,1781.933,1244.117,537.817
11001007502,8.598,8.777,8.243,1986.567,1322.083,664.483
11001007503,8.352,8.395,8.263,1360.583,911.667,448.917
11001007504,8.316,8.296,8.364,1280.333,906.65,373.683
11001007601,7.737,8.088,7.188,2201.817,1344.283,857.533
11001007603,8.596,9.48,7.649,2236.65,1157.583,1079.067
11001007604,8.224,8.789,7.501,2040.117,1144.5,895.617
11001007605,7.757,8.016,7.315,2038.6,1284.65,753.95
11001007703,8.178,8.252,8.02,2405.95,1644.433,761.517
11001007707,9.245,9.568,8.681,1865.667,1185.633,680.033
11001007708,8.074,7.885,8.508,1545.95,1078.267,467.683
11001007709,8.164,8.484,7.544,1348.183,888.317,459.867
11001007803,8.691,8.704,8.668,1846.05,1173.317,672.733
11001007804,9.746,9.892,9.431,1626.933,1112.933,514
11001007806,9.211,9.345,8.942,1414.833,943.733,471.1
